source,hospital,review
MouthShut,Fortis,"Im truly grateful to Dr. Shalini Maam and Co-ordinator Poornima Maam for their excellent support throughout my medical examination process. Their guidance was smooth, professional, and reassuring. Thank you both for making the experience stress-free and efficient!"
MouthShut,Fortis,This hospital is nothing but a fraud please beware of this and do not trust any doctor. the diagnosis is wrong the doctors just make money and can do anything to just earn money. they can suggests surgery when its not needed just to make money. just do not go.
MouthShut,Fortis,"In my personal experience, Dr. Arvind Sahni is the worst doctor I have ever encountered, and I would strongly advise others to avoid seeking treatment from him.

My mother was undergoing cancer treatment and, after completion, she remained cancer-free for approximately three months. Subsequently, she developed a tracheoesophageal fistula, which we were informed was a possible side effect of radiotherapy.

In managing this condition, Dr. Arvind Sahni recommended and carried out the placement of an esophageal stent. After this procedure, my mother developed serious complications affecting her heart, lungs, windpipe all of which had been perfectly healthy before the stent was inserted. Her condition declined rapidly, and she suffered intense pain for nearly a month before she passed away. Before the procedure, we had asked about possible risks, but we were not informed about such complications. When these complications happened and we asked him for answers, he was rude, uncaring, and did not help us.

We trusted him to make my mother better, but instead, she got worse and lost her life. From my experience, his treatment and care were very bad and I believe no one should risk their loved ones lives with him."
MouthShut,Fortis,"Thank you, Shayam, for your great support and dedication. Truly appreciate your efforts!""

Ravindra Sharma

7977xx"
MouthShut,Fortis,Excellent support from Nirgun saheb who was on duty outside ICU 1. Very helpful and compassionate. He will always offer help is very considerate towards relatives of patients. Employers please note he's truly an asset. Regards from Shrotri family for him
MouthShut,Fortis,"We are incredibly grateful to Fortis Hospital for the timely and exceptional care provided during a very critical moment for our family. On the 7th of July, we had to rush my pregnant wife to the hospital in an emergency as she suffered an eclampsia attack around 4:30 AM. It was a terrifying situation, but the hospital staff responded with remarkable efficiency and compassion.

We would like to extend our deepest thanks to Dr. Sonal Kumta, Dr. Rajen Doshi, Dr Farah, Dr Sukhada, Dr Sonuli, ICU staff, Emergency Staff, NICU staff for their prompt diagnosis and expert medical attention. Their calm and confident approach truly made all the difference in managing the crisis and ensuring the safety of both mother and baby.

A special mention must go to Mr. Shyamsunder Nirgun from the security team, who went far beyond his duty. His reassuring words and support gave us courage during one of the most difficult moments of our lives. Its rare to come across people like him who bring so much humanity to their role.

Thank you, Fortis, for being a pillar of strength in our time of need. We will always remember your care and kindness."
MouthShut,Fortis,"This is the not the first time we visited FORTIS Bannaerghatta Branch. This Hospital has always given my family a good medical care and treatment. My Father has recently undergone a Radiation treatment under the guidance of Dr N.Madhusudan and team. For us, since admission to the completion of Treatment, it was hassle free. Doctor made us understand the Gravity of the situation and boosted the Morale of family members, which gave us courage to face the treatment.

All the Supporting medical staff in radiation department were really so much supportive in the process of treatment."
MouthShut,Fortis,"Security officer, MR Shyam sundar Nirgun

Patient name Asha Singh was admitted in icu 3 bed number 1313 in fortis health care mulund the security officer Mr Shyam sundar nirgun guide us with necessary step and good human gesture with full support to patientrelative in need."
MouthShut,Fortis,"Just wanted to take a moment to appreciate the hospitals security staff. In such a stressful time for families, their presence and behavior really made a difference. Theyve been extremely professional, but more importantly, very calm and respectful with everyone.

Chahe ICU ka entry ho ya emergency area ka rush, they handled everything smoothly, bina kisi gusse ya attitude ke. Its not easy to manage so many people with different emotions some scared, some angry, some confused but they maintained discipline with a lot of patience.

Specially liked how they explained rules politely instead of just saying no. At times when we were emotionally drained, unka ek simple guide kar dena ya calmly baat karna felt very supportive."
MouthShut,Fortis,"What a terrible experience we had this time. If you donot have hold on a resourceful doctor at Fortis hospital Kolkata then you are finished. They will make your life hell.

Since past few months, Fortis Kolkata, Anandapur, have degraded with very menial quality doctors. All renowned, genuinely honest, expert doctors, staff have left Fortis as they refused to surrender to undue, corrupt demands of the administration. We have witnessed, experienced. Doctors like Yashesh Paliwal, Sandip Mondal, Dibyendyu Mukherjee are part ners in such activities and those who are tagged with them are cursed. Tgey neither know their subject nor they have traces of their conscience. They take patients on a ride... Escalated medical bills and self well being is the motto of Fortis hospital Kolkata now.

STAY AWAY FROM FORTIS."
MouthShut,Fortis,"We have admitted in ICU 1209 Security staff Shyam sunder is very professional and excellent guidance quality. Very helpful nature strict towards hospital rules.

Really appreciated his working quality and helping nature. Need this type of security staff in hospital.good example for other security staff."
MouthShut,Fortis,"I want to thank Dr. Harsimrat Bir Singh Sodhi from the bottom of my heart for his outstanding knowledge at a crucial moment. My mother was not able to walk due to compression in his backbone when I went to the doctor, but thank God, and of course, Dr. Sodhi knowledge in Spine surgery is extremely impressive, and the outcomes speak for themselves.Our gratitude for having such a skilled and kind surgeon by our side is immense.A doctor of his quality is a blessing for Fortis Mohali.Excellently suggested."
MouthShut,Fortis,"Mr Vijay Sawant is admitted in fortis hospital room no. 1810.

We met Mr. Shamsundar Nirgun at OT. He guided us very well .. He is very respectful and professional.."
MouthShut,Fortis,"I would like to express my deepest gratitude to Dr. V.K. Khosla for his exceptional expertise during a very critical time.When I approached to the doctor, i was clueless about my life, my family , but thanks ?? to god and ofcourse Dr. Khosla's skill in brain surgery is truly commendable, and the results speak volumes about his experience and precision. We are incredibly thankful to have had such a compassionate and competent surgeon by our side. Fortis Mohali is fortunate to have a doctor of his caliber. Highly recommended.

Thanks

Patient: Poonam Sharma

UHID NO: 13655079

Zirakpur"
MouthShut,Fortis,"Hello all,

Nowadays bigger hospital started taking operation cost like big scam money. We have undergone prostrate surgery for our father-in-law

Intial estimated charge is 6 lacs.They made 10lacs.

Even though we have insurance these hospital people only claiming them 7.30lacs.The remaining amount we are asking to claim means they are saying it's development and donation for the hospital. Also so many extra charges they put it's just scamming with earned people.Coming to management it's worst experience. On the 5th day of operation he was facing gastric and breathing issue.From morning keep doctors coming and checking , OT is not free , scan also busy end of the day nothing they did.He suffered lot.Next day they checked. Also so much money you need to give to the nurses also everytime to shift Patient to from ward to scans and other blood tests taking.Please it's very bad hospital and management. It's mu kind request to all don go.fell in sprider web."
